TYPE,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,MARINE,STATUS_YR,age,GOV_TYPE,GOV_CAT,MANG_AUTH,ISO3,pop,logpop,veg_diversity,veg_factor,AREA,logArea,mean_access,logAccess,temp,meanbirdpop,meanmampop,meansppop,Visitation_rate,logVis
Polygon,135758,135758,Gruinart Flats,Gruinart Flats,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1963,57,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,2053.024244,3.312394078,8,Mosaic,32.50515817,1.511952284,151.8695652,2.18147075,9.464007073,619,0,619,11000,4.041392685
Polygon,555581086,555581086,Loch Gruinart & Ardnave,Loch Gruinart & Ardnave,Nature Reserve,Nature Reserve,National,1,1983,37,Joint governance,B,"RSPB, Scottish Natural Heritage, Landowner(s)",GBR,1956.2045,3.291414254,7,Mosaic,30.64030988,1.486293153,151.5531915,2.180565086,9.432389871,619,0,619,11000,4.041392685
Polygon,555581100,555581100,Ynys-Hir,Ynys-Hir,Nature Reserve,Nature Reserve,National,1,1969,51,Joint governance,B,"RSPB, Natural Resources Wales, Landowner(s)",GBR,22925.32194,4.360315443,5,Grassland,8.77027544,0.943013233,60.375,1.780857144,9.491666794,577.6666667,0,577.6666667,11006,4.041629508
Polygon,169608,169608,Elmley,Elmley,National Nature Reserve,National Nature Reserve,National,0,1998,22,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,137196.3314,5.137342499,6,Cropland,12.10409998,1.082932502,15.65,1.194514342,10.51493049,370,0,370,11255,4.051345499
Polygon,135478,135478,Montrose Basin,Montrose Basin,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1974,46,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,34271.92573,4.534938508,7,Water bodies,9.487941467,0.977171997,22.2,1.346352974,8.445833365,556,59,615,11439,4.05838806
Polygon,555581069,555581069,Balranald,Balranald,Nature Reserve,Nature Reserve,National,0,1966,54,Joint governance,B,"RSPB, Scottish Natural Heritage, Commoners ",GBR,2213.281708,3.345036695,6,Mosaic,6.792733682,0.832044588,331.0666667,2.519915456,8.806111272,437.25,0,437.25,13600,4.133538908
Polygon,136130,136130,Balranald Bog and Loch nam Feithean,Balranald Bog and Loch nam Feithean,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1978,42,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,486.0515528,2.686682335,6,Mosaic,8.163730259,0.911888647,331.8666667,2.520963633,8.811979413,530,14,544,13600,4.133538908
Polygon,555581039,555581039,Marshside,Marshside,Nature Reserve,Nature Reserve,National,0,1994,26,Joint governance,B,"RSPB, Natural England, Landowner(s)",GBR,194802.9863,5.28959561,5,Mosaic,1.102725544,0.042467435,1,0,9.763888995,552,0,552,13734,4.137797043
Polygon,137992,137992,Nagshead,Nagshead,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1985,35,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,74932.31251,4.874669136,2,Mosaic,1.30730518,0.116376982,17,1.230448921,9.599999905,528,0,528,13751,4.138334282
Polygon,1482,1482,Skomer Island,Skomer Island,National Nature Reserve,National Nature Reserve,National,0,1959,61,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,769.1478918,2.886009854,4,Grassland,3.14567268,0.497713531,85.33333333,1.931118711,10.57666645,459,0,459,17411,4.240823716
Polygon,139750,139750,Skomer Island & Middleholm,Skomer Island & Middleholm,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1954,66,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,769.1478918,2.886009854,4,Grassland,3.30936288,0.519744391,84,1.924279286,10.57666645,459,0,459,17411,4.240823716
Polygon,93183,93183,Forge Mill Lake,Forge Mill Lake,Local Nature Reserve,Local Nature Reserve,National,0,1991,29,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland, Local Authorities",GBR,1256987.093,6.099330818,5,Mosaic,1.048141212,0.020419797,0,0,9.481203547,497,94,591,18572,4.268858675
Polygon,555624695,555624695,Loch of the Lowes,Loch of the Lowes,Nature Reserve,Nature Reserve,National,0,1969,51,Collaborative governance,B,Scottish Wildlife Trust,GBR,6659.677773,3.823453216,5,Water bodies,1.586473074,0.200432706,24.5,1.389166084,8.429166794,614,120,734,19208,4.283482147
Polygon,12456,12456,Crymlyn Bog and Pant y Sais,Crymlyn Bog and Pant y Sais,National Nature Reserve,National Nature Reserve,National,0,1987,33,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,280732.7846,5.448293133,4,Mosaic,1.310363831,0.117391897,3.5,0.544068044,10.60000038,570,0,570,20000,4.301029996
Polygon,11097,11097,Whiteford,Whiteford,National Nature Reserve,National Nature Reserve,National,0,1964,56,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,68748.59427,4.837263822,8,Water bodies,8.04968419,0.905778842,22.8,1.357934847,10.61770833,272.5,19,291.5,20000,4.301029996
Polygon,555581095,555581095,Snettisham,Snettisham,Nature Reserve,Nature Reserve,National,1,1972,48,Joint governance,B,"RSPB, Natural England, Landowner(s)",GBR,80138.15803,4.903839356,7,Water bodies,37.53390484,1.574423749,48.66666667,1.687231601,9.708333174,639.6666667,74,713.6666667,20843,4.318960229
Polygon,555581044,555581044,Northward Hill,Northward Hill,Nature Reserve,Nature Reserve,National,0,1956,64,Joint governance,B,"RSPB, Natural England",GBR,522957.9789,5.718466794,6,Cropland,3.629556231,0.559853529,10.2,1.008600172,10.30916662,581.6666667,0,581.6666667,20889,4.31991765
Polygon,555581071,555581071,Blacktoft Sands,Blacktoft Sands,Nature Reserve,Nature Reserve,National,1,1973,47,Joint governance,B,"RSPB, Natural England, Associated British Ports",GBR,83893.44625,4.923728035,7,Mosaic,2.510361316,0.399736234,20.5,1.311753861,9.433333158,574,91,665,21911,4.340662199
Polygon,555581023,555581023,North Warren,North Warren,Nature Reserve,Nature Reserve,National,0,1939,81,Joint governance,B,"RSPB, Natural England, Landowner(s)",GBR,19739.51981,4.295336584,6,Mosaic,4.107643615,0.613592757,19.3,1.285557309,9.904861053,786,139,925,22400,4.350248018
Polygon,555581115,555581115,Hodbarrow,Hodbarrow,Nature Reserve,Nature Reserve,National,0,1986,34,Joint governance,B,"RSPB, Natural England",GBR,85816.10545,4.933568801,3,Water bodies,1.057855632,0.024426403,47,1.672097858,9.283333302,539,77,616,23000,4.361727836
Polygon,555581089,555581089,Mersehead,Mersehead,Nature Reserve,Nature Reserve,National,1,1993,27,Joint governance,B,"RSPB, Scottish Natural Heritage, Crown Estates",GBR,3285.127733,3.516552261,8,Water bodies,16.15574277,1.20832693,44.6,1.649334859,9.108333588,568,0,568,26247,4.419079671
Polygon,135887,135887,Sands of Forvie and Ythan Estuary,Sands of Forvie and Ythan Estuary,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1959,61,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,24124.41204,4.382456738,6,Mosaic,9.907442576,0.995961564,13.45454545,1.12886903,8.338157855,458,0,458,27875,4.445214876
Polygon,139459,139459,Cynffig/Kenfig,Cynffig/Kenfig,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1953,67,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,120958.6651,5.082636985,8,Mosaic,7.758392221,0.889771731,5.692307692,0.755288367,10.46874984,522,0,522,30000,4.477121255
Polygon,555581280,555581280,Dinefwr,Dinefwr,Nature Reserve,Nature Reserve,National,0,1987,33,Non-profit organisations,C,National Trust,GBR,38905.39878,4.590009871,2,Grassland,1.728789581,0.237742136,17,1.230448921,9.733333111,559,62,621,30000,4.477121255
Polygon,139313,139313,Dinefwr Estate,Dinefwr Estate,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1973,47,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,38449.01401,4.584885207,3,Grassland,2.242303723,0.350694438,17,1.230448921,9.754166603,559,62,621,30000,4.477121255
Polygon,20579,20579,Kenfig Pools and Dunes,Kenfig Pools and Dunes,National Nature Reserve,National Nature Reserve,National,0,1989,31,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,109394.004,5.038993519,6,Mosaic,5.131585533,0.710251572,5.666666667,0.753327667,10.48055543,522,0,522,30000,4.477121255
Polygon,135864,135864,St Cyrus and Kinnaber Links,St Cyrus and Kinnaber Links,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1955,65,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,28033.72884,4.447680868,5,Water bodies,3.059951994,0.485714613,26.83243826,1.428660139,8.397222201,434.5,0,434.5,30000,4.477121255
Polygon,555581065,555581065,Lake Vyrnwy,Lake Vyrnwy,Nature Reserve,Nature Reserve,National,0,1977,43,Joint governance,B,"RSPB, Severn Trent Water, Natural Resources Wales, Other",GBR,12483.65142,4.096341633,5,Mosaic,100.8626829,2.003730516,42.49484536,1.628336253,7.42263744,444,66,510,30513,4.484484909
Polygon,555581067,555581067,South Stack Cliffs,South Stack Cliffs,Nature Reserve,Nature Reserve,National,0,1979,41,Joint governance,B,"RSPB, Natural Resources Wales, Landowner(s)",GBR,16957.41579,4.229359669,5,Mosaic,3.412246083,0.533040344,86,1.934498451,10.11666666,0,0,0,37735,4.576744354
Polygon,11082,11082,Cors Caron,Cors Caron,National Nature Reserve,National Nature Reserve,National,0,1981,39,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,9724.0838,3.987848693,4,Mosaic,8.386401141,0.923575632,48.23529412,1.683364931,8.742647171,483.5,0,483.5,40000,4.602059991
Polygon,555580996,555580996,The Lodge,The Lodge,Nature Reserve,Nature Reserve,National,0,1961,59,Joint governance,B,"RSPB, Natural England",GBR,133502.6003,5.125489725,6,Mosaic,2.070863019,0.316151373,7.25,0.860338007,9.716666698,460,93,553,41209,4.614992076
Polygon,20587,20587,Spurn,Spurn,Heritage Coast,Heritage Coast,National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales",GBR,20708.03613,4.316138914,6,Water bodies,47.39489397,1.675731556,29.625,1.471658359,9.602381025,374,33,407,41771,4.620874872
Polygon,142802,142802,Spurn Head,Spurn Head,National Nature Reserve,National Nature Reserve,National,0,1996,24,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,5608.991625,3.748884792,2,Water bodies,2.948277223,0.469568317,33.5,1.525044807,9.545833588,374,33,407,41771,4.620874872
Polygon,11093,11093,Ogof Ffynnon Ddu,Ogof Ffynnon Ddu,National Nature Reserve,National Nature Reserve,National,0,1975,45,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,26340.01502,4.420616018,3,Mosaic,4.174993415,0.620655795,18,1.255272505,7.872222265,467,0,467,43000,4.633468456
Polygon,136332,136332,Arne,Arne,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,184942.5934,5.267036943,7,Mosaic,5.572863948,0.746078441,10.28571429,1.012234457,10.50092612,560,101.5,661.5,44197,4.645392791
Polygon,140276,140276,Fairburn and Newton Ings,Fairburn and Newton Ings,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1984,36,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,227164.4797,5.356340424,4,Urban areas,1.737105459,0.239826185,1.614622018,0.208070871,9.50631098,592,0,592,45136,4.654523069
Polygon,93108,93108,Fairburn Ings,Fairburn Ings,Local Nature Reserve,Local Nature Reserve,National,0,1957,63,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland, Local Authorities",GBR,223884.0424,5.35002314,4,Urban areas,1.887576161,0.275904484,1.666666667,0.22184875,9.508333206,592,0,592,45136,4.654523069
Polygon,11070,11070,Cader Idris,Cader Idris,National Nature Reserve,National Nature Reserve,National,0,1955,65,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,11757.72957,4.070323467,3,Mosaic,4.36138454,0.63962438,52.75,1.722222464,7.448958278,520,0,520,49240,4.692318044
Polygon,11079,11079,Coedydd Aber,Coedydd Aber,National Nature Reserve,National Nature Reserve,National,0,1975,45,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,27056.8939,4.432277939,4,Mosaic,1.661934225,0.220613832,54.33333333,1.73506635,8.233333588,509,106,615,50000,4.698970004
Polygon,135653,135653,Threave and Carlingwark Loch,Threave and Carlingwark Loch,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1960,60,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,16968.53309,4.2296443,6,Mosaic,2.93367699,0.467412295,49.57142857,1.695231435,8.830952372,483,0,483,50997,4.707544629
Polygon,555580952,555580952,Dearne Valley,Dearne Valley,Nature Reserve,Nature Reserve,National,0,2000,20,Joint governance,B,"RSPB, Barnsley Council, Environment Agency",GBR,539153.8054,5.731712675,7,Mosaic,2.610882303,0.416787295,0.666666667,-0.176091259,9.416666349,531,82,613,57375,4.758722699
Polygon,146718,146718,Pulborough Brooks,Pulborough Brooks,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1998,22,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,77272.83994,4.888026874,4,Mosaic,1.598509108,0.203715115,9.5,0.977723605,10.34583378,628,119,747,68107,4.833191751
Polygon,387443,387443,Glenmore,Glenmore,National Nature Reserve,National Nature Reserve,National,0,2007,13,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,4956.060658,3.695136613,3,Mosaic,21.14661724,1.325240905,102.8809524,2.012334976,5.80277779,511.25,0,511.25,78264,4.893562041
